Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"4,380,000","2,016.1","2,173",Dec-23,TEMBELING ROAD,Resale,Land,187.3,"23,385",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LOWLAND TERRACE,"3,818,000","1,762.07","2,167",Dec-23,LOWLAND ROAD,Resale,Land,163.7,"23,323",-,Terrace House,1,Freehold,19,Outside Central Region,-
VILLA VERDE,"2,180,000","1,672.73","1,303",Dec-23,VERDE CRESCENT,Resale,Land,155.4,"14,028",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
FUYONG ESTATE,"1,150,000","2,712.53",424,Dec-23,JALAN ASAS,Resale,Land,252,"4,563",-,Semi-Detached House,1,99 yrs lease commencing from 1947,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,660,000","6,555.28","2,084",Dec-23,PEARL ISLAND,Resale,Land,609,"22,430",-,Detached House,1,99 yrs lease commencing from 2008,04,Core Central Region,-
LIMAU VILLAS,"2,420,000","1,614.6","1,499",Dec-23,LIMAU TERRACE,Resale,Land,150,"16,133",-,Terrace House,1,99 yrs lease commencing from 1996,16,Outside Central Region,-
KEMBANGAN ESTATE,"3,300,000","1,570.47","2,101",Dec-23,JALAN ISHAK,Resale,Land,145.9,"22,618",-,Terrace House,1,Freehold,14,Outside Central Region,-
KIM LIN PARK,"9,500,000","3,163.54","3,003",Dec-23,JALAN KELAWAR,Resale,Land,293.9,"32,324",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LUXUS HILLS,"4,300,000","1,614.6","2,663",Dec-23,LUXUS HILL DRIVE,Resale,Land,150,"28,667",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,888,000","1,896.62","2,050",Dec-23,PASIR PANJANG ROAD,Resale,Land,176.2,"22,066",-,Terrace House,1,Freehold,05,Rest of Central Region,-
LOYANG VILLAS,"2,150,000","1,635.05","1,315",Dec-23,LOYANG RISE,Resale,Land,151.9,"14,154",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
SHEPHERD'S HILL ESTATE,"8,480,000","5,037.55","1,683",Dec-23,SHEPHERDS DRIVE,Resale,Land,468,"18,120",-,Detached House,1,Freehold,03,Rest of Central Region,-
