Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARC CENTROS,"1,378,888",990.29,"1,392",Nov-22,PUNGGOL CENTRAL,Resale,Strata,92,"14,988",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
KINGSFORD . HILLVIEW PEAK,"720,000",516.67,"1,394",Nov-22,HILLVIEW RISE,Resale,Strata,48,"15,000",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
ESTELLA GARDENS,"1,410,888","1,291.68","1,092",Nov-22,FLORA ROAD,Resale,Strata,120,"11,757",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
RESIDENCES BOTANIQUE,"1,218,000",861.12,"1,414",Nov-22,YIO CHU KANG ROAD,Resale,Strata,80,"15,225",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
HILLSTA,"720,000",538.2,"1,338",Nov-22,PHOENIX ROAD,Resale,Strata,50,"14,400",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
BLISS@KOVAN,"1,560,000","1,022.58","1,526",Nov-22,SIMON LANE,Resale,Strata,95,"16,421",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
STARS OF KOVAN,"1,288,000",731.95,"1,760",Nov-22,UPPER SERANGOON ROAD,Resale,Strata,68,"18,941",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,01 to 05
SKY VUE,"1,280,000",678.13,"1,888",Nov-22,BISHAN STREET 15,Resale,Strata,63,"20,317",-,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,06 to 10
NOTTINGHILL SUITES,"850,000",505.91,"1,680",Nov-22,TOH TUCK ROAD,Resale,Strata,47,"18,085",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
THE GALE,"755,000",688.9,"1,096",Nov-22,FLORA ROAD,Resale,Strata,64,"11,797",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
JEWEL @ BUANGKOK,"2,200,000","1,410.08","1,560",Nov-22,COMPASSVALE BOW,Resale,Strata,131,"16,794",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
BOATHOUSE RESIDENCES,"755,000",624.31,"1,209",Nov-22,UPPER SERANGOON VIEW,Resale,Strata,58,"13,017",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
ORCHID PARK CONDO,"1,395,000","1,571.54",888,Nov-22,YISHUN STREET 81,Resale,Strata,146,"9,555",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,11 to 15
