LATITUDE,LONGITUDE,address,town,flat_type,floor_area_sqm,remaining_lease,bus_within_0.5,cbd_distance,hawker_distance,mall_within_2.0,mrtlrt_distance,park_distance,school_within_2.0,supermarket_within_0.5,resale_price,region
1.39001,103.89345,215B COMPASSVALE DR,SENGKANG,5 ROOM,112.0,95,27.0,12.601067,0.850821,7.0,0.275413,1.160028,29.0,3.0,825653.1359999999,North East
1.39002,103.87957,414B FERNVALE LINK,SENGKANG,3 ROOM,68.0,95,4.0,12.11955,0.329427,5.0,0.238271,0.541824,15.0,2.0,400753.44,North East
1.39002,103.87957,414B FERNVALE LINK,SENGKANG,4 ROOM,93.0,95,4.0,12.11955,0.329427,5.0,0.238271,0.541824,15.0,2.0,494074.35,North East
1.39003,103.90352,132 RIVERVALE ST,SENGKANG,4 ROOM,100.0,81,21.0,13.056456,1.497911,6.0,0.308626,0.17885,29.0,1.0,406614.0,North East
1.39003,103.90352,132 RIVERVALE ST,SENGKANG,5 ROOM,121.0,80,21.0,13.056456,1.497911,6.0,0.308626,0.17885,29.0,1.0,477308.17,North East
1.39003,103.90848,162C RIVERVALE CRES,SENGKANG,4 ROOM,93.0,95,11.0,13.309391,1.979146,6.0,0.334914,0.555504,22.0,0.0,507798.6375,North East
1.39003,103.90848,162C RIVERVALE CRES,SENGKANG,5 ROOM,113.0,95,11.0,13.309391,1.979146,6.0,0.334914,0.555504,22.0,0.0,625827.5099999999,North East
1.39005,103.87594,410A FERNVALE RD,SENGKANG,4 ROOM,95.0,94,12.0,12.026396,0.210933,4.0,0.212531,0.556337,13.0,3.0,481021.744,North East
1.39007,103.90572,143 RIVERVALE DR,SENGKANG,EXECUTIVE,140.0,81,19.0,13.170127,1.70829,6.0,0.166738,0.279206,26.0,1.0,640092.3,North East
1.39007,103.90727,164A RIVERVALE CRES,SENGKANG,4 ROOM,93.0,96,14.0,13.250012,1.860152,6.0,0.225776,0.42799,25.0,1.0,503620.23000000004,North East
1.39007,103.90727,164A RIVERVALE CRES,SENGKANG,5 ROOM,113.0,96,14.0,13.250012,1.860152,6.0,0.225776,0.42799,25.0,1.0,598641.3435,North East
1.39016,103.87706,411B FERNVALE RD,SENGKANG,4 ROOM,95.0,94,10.0,12.066543,0.158054,4.0,0.215119,0.53251,13.0,2.0,477093.76,North East
1.39018,103.88905,306A ANCHORVALE LINK,SENGKANG,4 ROOM,90.0,83,20.0,12.44688,0.747238,6.0,0.358508,1.161746,26.0,1.0,439617.97199999995,North East
1.39018,103.88905,306A ANCHORVALE LINK,SENGKANG,5 ROOM,110.0,84,20.0,12.44688,0.747238,6.0,0.358508,1.161746,26.0,1.0,484243.7400000001,North East
1.3902,103.89458,216D COMPASSVALE DR,SENGKANG,4 ROOM,92.0,95,27.0,12.666966,0.896953,7.0,0.174114,1.033453,28.0,3.0,694997.9189999999,North East
1.3902,103.89458,216D COMPASSVALE DR,SENGKANG,5 ROOM,112.0,95,27.0,12.666966,0.896953,7.0,0.174114,1.033453,28.0,3.0,832789.7655,North East
1.39026,103.90962,180A RIVERVALE CRES,SENGKANG,2 ROOM,47.0,96,9.0,13.392231,2.053954,6.0,0.439943,0.670792,21.0,0.0,261964.48400000003,North East
1.39026,103.90962,180A RIVERVALE CRES,SENGKANG,3 ROOM,67.0,96,9.0,13.392231,2.053954,6.0,0.439943,0.670792,21.0,0.0,340526.475,North East
1.3903,103.88649,307D ANCHORVALE RD,SENGKANG,4 ROOM,90.0,82,16.0,12.367506,0.7646,6.0,0.122654,1.04818,24.0,0.0,402979.84800000006,North East
1.3903,103.88649,307D ANCHORVALE RD,SENGKANG,5 ROOM,110.0,83,16.0,12.367506,0.7646,6.0,0.122654,1.04818,24.0,0.0,477093.76,North East
1.39033,103.891,320A ANCHORVALE DR,SENGKANG,4 ROOM,86.0,84,22.0,12.536926,0.779503,7.0,0.401655,1.262963,26.0,2.0,449084.676,North East
1.39036,103.90764,162A RIVERVALE CRES,SENGKANG,4 ROOM,93.0,95,13.0,13.29718,1.910776,6.0,0.235613,0.454426,25.0,1.0,520400.284692,North East
1.39036,103.90764,162A RIVERVALE CRES,SENGKANG,5 ROOM,113.0,95,13.0,13.29718,1.910776,6.0,0.235613,0.454426,25.0,1.0,623082.6524999999,North East
1.39036,103.90808,162B RIVERVALE CRES,SENGKANG,4 ROOM,93.0,95,11.0,13.320128,1.954344,6.0,0.277372,0.501213,22.0,1.0,521596.5,North East
1.39036,103.90808,162B RIVERVALE CRES,SENGKANG,5 ROOM,113.0,95,11.0,13.320128,1.954344,6.0,0.277372,0.501213,22.0,1.0,615946.0229999999,North East
1.39044,103.89866,238 COMPASSVALE WALK,SENGKANG,4 ROOM,101.0,81,24.0,12.869136,1.130584,6.0,0.380476,0.581398,27.0,1.0,471309.3169999999,North East
1.39044,103.89866,238 COMPASSVALE WALK,SENGKANG,5 ROOM,122.0,81,24.0,12.869136,1.130584,6.0,0.380476,0.581398,27.0,1.0,541937.1735,North East
1.39045,103.9051,142 RIVERVALE CRES,SENGKANG,4 ROOM,100.0,81,16.0,13.177135,1.671235,6.0,0.150847,0.198605,28.0,1.0,401135.73,North East
