private_lat,private_lon,within_0.1,within_0.3,within_0.5,within_1,within_1.5,within_2.0
1.29618311474759,103.820152358579,0,0,1,4,8,9
1.29619653746501,103.840873204577,0,0,0,2,4,4
1.29635617157406,103.837991072981,0,0,1,1,4,7
1.29639111945043,103.834694192111,0,0,1,1,4,8
1.29640300522907,103.829758292446,0,0,0,2,6,8
1.29644995684098,103.834439535286,0,0,1,1,4,8
1.29653126696943,103.893419027469,0,0,0,1,6,8
1.29653976819631,103.828864101631,0,0,0,3,6,9
1.29658018008284,103.840472332291,0,0,0,2,4,5
1.29659578899507,103.842393872828,0,0,0,2,4,6
1.29660443035383,103.838842474051,0,0,1,1,4,7
1.29660974425015,103.867069174269,0,0,0,0,1,2
1.29662403708868,103.874304548932,0,0,0,1,1,2
1.29667456790547,103.884526110892,0,0,1,1,3,6
1.29668185515836,103.889100113074,0,0,0,2,4,7
1.29670488898903,103.872450354218,0,0,0,0,1,3
1.29671864134885,103.838173259745,0,0,1,1,4,7
1.29673208730621,103.87063419752,0,0,0,0,1,2
1.29673744760827,103.833005715415,0,0,1,1,4,8
1.29673926775369,103.842701828398,0,0,0,2,4,6
1.29676382657394,103.82541109754,0,0,0,3,6,10
1.29677202648703,103.800712927589,0,0,2,3,4,9
1.29679910840731,103.83459713454,0,0,1,1,4,8
1.29680380852127,103.889925944761,0,0,0,2,4,7
1.2968140340697,103.767536280823,0,0,0,1,3,7
1.29688446089582,103.888584074842,0,0,0,2,4,7
1.29689177042354,103.839840675332,0,0,0,1,4,6
1.29693793396578,103.892708682576,0,0,0,1,6,8
1.29695100013987,103.765436140212,0,0,1,1,3,6
1.29698675340218,103.836737477578,0,0,1,1,4,7
1.29704864771761,103.88764477781,0,0,0,2,3,7
1.29707979825852,103.856398852446,0,0,0,2,2,3
1.29717525117902,103.836032712174,0,0,1,1,4,7
1.29719285545648,103.837470929944,0,0,1,1,4,7
1.29727294661043,103.838940257017,0,0,0,1,4,6
1.29728166021583,103.834690606647,0,0,1,1,4,8
1.29732760228353,103.83322191012,0,0,0,1,4,8
1.29734197095829,103.8367416335,0,0,1,1,4,7
1.29737860639544,103.843222328094,0,0,0,2,4,6
1.29740753807852,103.875438146635,0,0,0,1,1,3
1.29741708512545,103.843201150392,0,0,0,2,4,6
1.29750880469903,103.836268849611,0,0,1,1,4,7
1.29751430565974,103.874514479809,0,0,0,1,1,2
1.29752089480499,103.766331687461,0,0,1,1,3,7
1.29757037590242,103.872271395271,0,0,0,0,1,3
1.29758995084157,103.839605280604,0,0,0,1,4,6
1.29763848883386,103.837696742648,0,0,1,1,4,7
1.29768110596317,103.889729287279,0,0,0,2,6,7
1.2976926630287,103.89444607007,0,0,0,1,6,8
1.29775245086994,103.856949531399,0,0,0,2,2,3
1.29783147778951,103.886178949925,0,0,1,2,4,7
1.29785385412228,103.84223562088,0,0,0,2,4,6
1.29786642836796,103.839893726083,0,0,0,1,4,5
1.29787108350456,103.835056333202,0,0,1,1,4,8
1.29793589010719,103.836437562021,0,0,1,1,4,7
1.29796800700412,103.838408057882,0,0,0,1,4,6
1.29806237939926,103.838019065206,0,0,0,1,4,6
1.29810982307445,103.827712685178,0,0,0,1,4,9
1.29811494090056,103.887990324917,0,0,0,2,5,7
1.29822173117014,103.896272689582,0,0,0,2,6,10
1.29825202663281,103.887049335154,0,0,1,2,5,7
1.29825892605471,103.76504947778,0,1,1,1,3,8
1.29828159353819,103.842786822646,0,0,0,2,4,6
1.29829067681172,103.833377647901,0,0,0,3,15,24
1.29831083277688,103.856652273902,0,0,0,2,2,3
1.29831388043611,103.834269820035,0,0,0,1,4,8
1.2983271637053,103.893447598793,0,0,0,1,6,8
1.29835870412523,103.840267883954,0,0,0,2,4,6
1.29837994307162,103.832190331692,0,0,0,1,4,8
1.29840164434192,103.835357288285,0,0,0,1,3,7
1.29843407033814,103.824518766243,0,0,0,2,5,10
1.29843730060613,103.884408021083,0,1,1,1,4,7
1.29850482255037,103.825566227543,0,0,0,1,5,10
1.29853287675519,103.836926078416,0,0,0,1,4,7
1.29858791034804,103.88619459663,0,0,1,2,4,7
1.29858926583677,103.856405058091,0,0,0,2,2,3
1.29859128385275,103.88788362263,0,0,0,2,5,7
1.29864589931753,103.765644018841,0,1,1,2,4,10
1.2986681768518,103.841687375699,0,0,0,2,4,6
1.29868831359876,103.884853403453,0,1,1,2,4,7
1.29872414233917,103.897227038286,0,0,0,3,4,10
1.29874865744547,103.840315207211,0,0,0,2,4,6
1.29876714993881,103.831774344575,0,0,0,1,3,8
1.29877526009797,103.888517626802,0,0,0,2,6,7
1.29878089230657,103.826677483859,0,0,0,1,4,9
1.29881700010487,103.887872844083,0,0,0,3,6,7
1.29884376283001,103.883834793855,0,1,1,1,4,7
1.29884647201804,103.837351959315,0,0,0,1,4,6
1.29884698729343,103.764917692526,0,1,1,2,4,10
1.29886131925695,103.898522862752,0,0,0,2,5,10
1.29897474563265,103.899038172699,0,0,0,2,5,10
1.29898398400724,103.834268439755,0,0,0,1,4,8
1.29905394548315,103.899416943562,0,0,0,2,6,10
1.29906600768056,103.832068608699,0,0,0,1,3,8
1.29906764002132,103.836832037459,0,0,0,1,4,6
1.29913857279489,103.884875985914,0,1,1,3,4,7
1.29916295967817,103.857859536947,0,0,1,1,2,3
1.29916779999053,103.83342756799,0,0,0,1,4,8
1.29918111738579,103.883828609398,0,1,1,2,4,7
1.29924811981195,103.841708895435,0,0,0,2,3,6
1.29928948887162,103.888693485053,0,0,0,3,7,7
1.29938809850778,103.836959088792,0,0,0,1,4,6
1.29941839079516,103.836188710546,0,0,0,1,4,6
1.29942281142325,103.834776774582,0,0,0,1,3,7
1.2994464420761,103.826792238545,0,0,0,1,4,8
1.2995172080842,103.802806930224,0,2,2,3,4,8
1.29953088366934,103.899817468941,0,0,0,2,7,10
1.29955807704199,103.901523915554,0,0,0,1,7,11
1.29959462338254,103.88872582337,0,0,0,3,7,7
1.29962292549867,103.883776609641,0,1,1,2,4,7
1.29962978981916,103.898114344383,0,0,0,4,5,10
1.29965226936589,103.898829231978,0,0,0,3,5,10
1.29975694405753,103.860668666503,0,0,0,1,2,3
1.29978083020794,103.828489156121,0,0,0,0,4,8
1.29980838493639,103.898492758597,0,0,0,3,5,10
1.2998091733077,103.846962853661,0,1,1,1,5,7
1.29983720291661,103.888741199114,0,0,0,3,7,7
1.29997909930352,103.825522814492,0,0,0,0,4,8
1.29999561489039,103.89896560804,0,0,0,3,6,10
1.30007748050778,103.8939354985,0,0,0,4,7,8
1.30007817721437,103.898011959706,0,0,0,4,5,10
1.30013291374093,103.88876823652,0,0,0,3,7,7
1.30014492491193,103.849871241878,0,1,1,2,4,6
