,hdb_lat,hdb_lon,hawker_lat,hawker_lon,distance
6023,1.37644232,103.8901338,1.382388,103.892403,0.704276
6024,1.376459245,103.8948573,1.382388,103.892403,0.710194
6025,1.37647118,103.772398,1.377601,103.77249,0.125349
6026,1.376471718,103.7648842,1.377601,103.77249,0.855592
6027,1.37647221,103.9327618,1.373434,103.951543,2.116943
6028,1.376472216,103.8938221,1.382388,103.892403,0.672932
6029,1.376476565,103.7371352,1.355215,103.741826,2.408256
6030,1.376491643,103.7692827,1.377601,103.77249,0.377423
6031,1.376492074,103.885772,1.375429,103.882978,0.332415
6032,1.376495198,103.77421,1.377601,103.77249,0.227135
6033,1.376512807,103.7391377,1.355215,103.741826,2.37393
6034,1.376520185,103.7380257,1.355215,103.741826,2.393481
6035,1.376526038,103.77168,1.377601,103.77249,0.149179
6036,1.376537545,103.7690422,1.377601,103.77249,0.401312
6037,1.37658461,103.7422972,1.355215,103.741826,2.363524
6038,1.376596783,103.7399496,1.355215,103.741826,2.373493
6039,1.376607572,103.748546,1.387136,103.761018,1.811572
6040,1.376622658,103.8807113,1.375429,103.882978,0.2847
6041,1.376623081,103.7430682,1.387136,103.761018,2.311206
6042,1.376626807,103.9445889,1.373434,103.951543,0.850629
6043,1.376628245,103.8787989,1.375429,103.882978,0.483617
6044,1.376632709,103.8793837,1.375429,103.882978,0.421564
6045,1.376635679,103.8797875,1.375429,103.882978,0.379306
6046,1.376647194,103.8867716,1.375429,103.882978,0.443149
6047,1.376654401,103.9452348,1.373434,103.951543,0.787174
6048,1.37665908,103.8815163,1.375429,103.882978,0.212041
6049,1.37666667,103.9426484,1.373434,103.951543,1.052423
6050,1.376667697,103.9398806,1.373434,103.951543,1.346235
6051,1.376673718,103.9019541,1.382388,103.892403,1.236542
6052,1.376677064,103.838361,1.374489,103.839214,0.259901
6053,1.376684642,103.7368179,1.355215,103.741826,2.438549
6054,1.376687626,103.8401595,1.374489,103.839214,0.264907
6055,1.37669797,103.8875411,1.375429,103.882978,0.526846
6056,1.376702331,103.9347472,1.373434,103.951543,1.903782
6057,1.376702901,103.888277,1.375429,103.882978,0.606303
6058,1.376705846,103.8824972,1.375429,103.882978,0.150986
6059,1.376711053,103.8411682,1.374489,103.839214,0.328126
6060,1.376717633,103.8865289,1.375429,103.882978,0.420076
6061,1.37672184,103.7481501,1.387136,103.761018,1.837601
6062,1.376745749,103.7667076,1.377601,103.77249,0.650421
6063,1.376760382,103.9040504,1.382388,103.892403,1.43784
