,hdb_lat,hdb_lon,supermarket_lat,supermarket_lon,distance
9119,1.438397594,103.7985403,1.439916,103.800701,0.29327
9120,1.438456147,103.7770813,1.433513,103.779747,0.621901
9121,1.438479295,103.7786159,1.433513,103.779747,0.56339
9122,1.438482923,103.7795248,1.433513,103.779747,0.550105
9123,1.438484294,103.7803814,1.433513,103.779747,0.554216
9124,1.438506059,103.8042506,1.44063,103.806198,0.319566
9125,1.438588734,103.8369545,1.436114,103.837605,0.283057
9126,1.438602584,103.8050912,1.44063,103.806198,0.255789
9127,1.438645519,103.7979184,1.437557,103.795136,0.33221
9128,1.438650317,103.7965172,1.437557,103.795136,0.195553
9129,1.438721521,103.7812874,1.436008,103.785689,0.574424
9130,1.438781764,103.8037078,1.439984,103.801293,0.299814
9131,1.438822731,103.8057142,1.44063,103.806198,0.206964
9132,1.438826354,103.7992974,1.439916,103.800701,0.19727
9133,1.438828532,103.780323,1.433513,103.779747,0.59125
9134,1.43882868,103.7793877,1.433513,103.779747,0.58914
9135,1.438831226,103.7895893,1.442753,103.790548,0.446581
9136,1.438935937,103.8009625,1.439916,103.800701,0.11221
9137,1.438964578,103.8375006,1.436114,103.837605,0.315417
9138,1.439024834,103.7983081,1.439916,103.800701,0.28394
9139,1.439043209,103.7781097,1.433513,103.779747,0.638071
9140,1.43905184,103.8043957,1.44063,103.806198,0.265856
9141,1.439056598,103.7783498,1.433513,103.779747,0.632396
9142,1.439059641,103.7987748,1.439916,103.800701,0.23434
9143,1.439112423,103.7789491,1.433513,103.779747,0.625491
9144,1.439139299,103.8049768,1.44063,103.806198,0.213634
9145,1.439165675,103.7799767,1.433513,103.779747,0.625567
9146,1.439166197,103.7796586,1.433513,103.779747,0.62518
9147,1.43918123,103.7808411,1.433513,103.779747,0.638481
9148,1.439188082,103.8000679,1.439916,103.800701,0.106969
9149,1.439223598,103.7895095,1.442753,103.790548,0.407016
9150,1.439232688,103.7886999,1.442753,103.790548,0.44025
9151,1.439284991,103.7907829,1.442753,103.790548,0.384365
9152,1.439324705,103.8033241,1.439984,103.801293,0.237496
9153,1.439357385,103.7914567,1.442753,103.790548,0.388849
9154,1.439386151,103.8017065,1.439984,103.801293,0.080546
9155,1.439408712,103.8384251,1.436114,103.837605,0.37557
9156,1.439434638,103.7930982,1.437557,103.795136,0.307463
9157,1.43945854,103.7940164,1.437557,103.795136,0.244406
9158,1.439468462,103.7996936,1.439916,103.800701,0.122544
9159,1.439478289,103.790258,1.442753,103.790548,0.363536
9160,1.439496863,103.839282,1.436114,103.837605,0.418031
9161,1.439516225,103.8056877,1.44063,103.806198,0.135618
9162,1.439533541,103.8037973,1.439984,103.801293,0.283106
9163,1.439540442,103.7899841,1.442753,103.790548,0.360729
9164,1.439624893,103.8377711,1.436114,103.837605,0.388657
9165,1.439632618,103.8021216,1.439984,103.801293,0.100062
9166,1.439660153,103.7952358,1.437557,103.795136,0.232821
9167,1.439669378,103.7907615,1.442753,103.790548,0.341798
9168,1.439698597,103.8388285,1.436114,103.837605,0.419101
9169,1.439726946,103.775383,1.432626,103.774051,0.799056
9170,1.439756112,103.7961572,1.437557,103.795136,0.268412
9171,1.439778457,103.7966868,1.437557,103.795136,0.300203
9172,1.439788661,103.8031201,1.439984,103.801293,0.204472
9173,1.439792923,103.7930674,1.437557,103.795136,0.337816
9174,1.439814551,103.8060413,1.44063,103.806198,0.091839
9175,1.439863032,103.8375136,1.436114,103.837605,0.414674
9176,1.439871578,103.7893555,1.442753,103.790548,0.345146
9177,1.439881884,103.7939668,1.437557,103.795136,0.288126
9178,1.439923451,103.8020153,1.439984,103.801293,0.080659
9179,1.439938288,103.7766948,1.433513,103.779747,0.787494
9180,1.439939826,103.8393823,1.436114,103.837605,0.466993
9181,1.439955084,103.7950489,1.437557,103.795136,0.265345
9182,1.439970248,103.7877721,1.442753,103.790548,0.436015
9183,1.439983664,103.8012931,1.439984,103.801293,3.9e-05
9184,1.439999661,103.8035924,1.439984,103.801293,0.255894
9185,1.440038069,103.8387445,1.436114,103.837605,0.452054
9186,1.440058371,103.7973694,1.439916,103.800701,0.37109
9187,1.440078172,103.7910757,1.442753,103.790548,0.301543
9188,1.440084796,103.7752007,1.432626,103.774051,0.834621
9189,1.440097906,103.8028926,1.439984,103.801293,0.178456
9190,1.440125097,103.7924334,1.442753,103.790548,0.358413
9191,1.440137407,103.7905661,1.442753,103.790548,0.289226
9192,1.440154173,103.7936118,1.437557,103.795136,0.333534
9193,1.440239814,103.7979326,1.439916,103.800701,0.310154
9194,1.440261709,103.7940135,1.437557,103.795136,0.324113
9195,1.440297452,103.7944553,1.437557,103.795136,0.31235
9196,1.440299614,103.8058925,1.44063,103.806198,0.049904
9197,1.440303606,103.8066604,1.44063,103.806198,0.062853
9198,1.44031863,103.8032847,1.439984,103.801293,0.224713
9199,1.440350676,103.7870944,1.442753,103.790548,0.467198
9200,1.440393999,103.7779423,1.433513,103.779747,0.786926
9201,1.440397243,103.7950203,1.437557,103.795136,0.314324
9202,1.440410831,103.7917361,1.442753,103.790548,0.290783
9203,1.440461444,103.7910545,1.442753,103.790548,0.259582
9204,1.440498828,103.7932871,1.437557,103.795136,0.384903
9205,1.440514129,103.7786216,1.433513,103.779747,0.784215
9206,1.440523773,103.8037471,1.44063,103.806198,0.273
9207,1.440524493,103.8390055,1.444341,103.83903,0.422019
9208,1.440538746,103.7986691,1.439916,103.800701,0.236372
9209,1.440580613,103.796236,1.437557,103.795136,0.356041
9210,1.44061702,103.7966466,1.437557,103.795136,0.377821
9211,1.440665109,103.7873096,1.442753,103.790548,0.427991
9212,1.440679423,103.7761198,1.433513,103.779747,0.889312
9213,1.440746753,103.8031394,1.439984,103.801293,0.222112
9214,1.440755494,103.8042641,1.44063,103.806198,0.21566
9215,1.440776769,103.7974203,1.439916,103.800701,0.377294
9216,1.440805674,103.7773186,1.433513,103.779747,0.850466
9217,1.440822385,103.7901649,1.442753,103.790548,0.217693
9218,1.440847279,103.7949912,1.437557,103.795136,0.364179
9219,1.44087379,103.7994942,1.440538,103.800978,0.169247
9220,1.440939721,103.7895024,1.442753,103.790548,0.231821
9221,1.440940295,103.786015,1.442753,103.790548,0.542815
9222,1.440949816,103.7920838,1.442753,103.790548,0.262613
9223,1.440956563,103.7965766,1.437557,103.795136,0.408665
9224,1.440960638,103.8047265,1.44063,103.806198,0.167787
9225,1.440991295,103.7927914,1.442753,103.790548,0.316663
9226,1.440997522,103.8028496,1.439984,103.801293,0.206317
9227,1.441004308,103.8072233,1.44063,103.806198,0.121375
9228,1.441085877,103.7777812,1.433513,103.779747,0.865475
9229,1.441085967,103.7781202,1.433513,103.779747,0.856727
9230,1.441096275,103.7792761,1.433513,103.779747,0.840156
9231,1.441115099,103.8033479,1.439984,103.801293,0.260647
9232,1.441126765,103.7906536,1.442753,103.790548,0.180204
9233,1.441131263,103.8051481,1.44063,103.806198,0.129318
9234,1.441169177,103.7915734,1.442753,103.790548,0.209027
9235,1.441186536,103.7901509,1.442753,103.790548,0.17876
9236,1.441231523,103.7974835,1.439916,103.800701,0.386478
9237,1.441291529,103.7764497,1.433513,103.779747,0.935112
9238,1.441310594,103.7920656,1.442753,103.790548,0.232294
9239,1.441317269,103.7784051,1.433513,103.779747,0.875782
9240,1.441333428,103.8061362,1.44063,103.806198,0.078085
9241,1.441345041,103.7771827,1.433513,103.779747,0.911833
9242,1.441357917,103.8045082,1.44063,103.806198,0.20455
9243,1.441370233,103.7985427,1.440538,103.800978,0.286209
9244,1.441401719,103.8039982,1.44063,103.806198,0.25925
9245,1.441505324,103.7721316,1.432626,103.774051,1.004797
9246,1.44150835,103.7997788,1.440538,103.800978,0.171237
9247,1.441539758,103.7732999,1.432626,103.774051,0.989176
9248,1.441539989,103.7927559,1.442753,103.790548,0.279931
9249,1.44160747,103.8011398,1.440538,103.800978,0.11962
9250,1.441661986,103.78993,1.442753,103.790548,0.138865
9251,1.441669065,103.7767334,1.433513,103.779747,0.962194
9252,1.441682283,103.7859847,1.442753,103.790548,0.521443
9253,1.441687759,103.8057888,1.44063,103.806198,0.125514
9254,1.441782183,103.7917581,1.442753,103.790548,0.172216
9255,1.441805575,103.7960735,1.445623,103.798141,0.480745
9256,1.44180898,103.8063724,1.44063,103.806198,0.131802
9257,1.441837236,103.8047664,1.44063,103.806198,0.207848
9258,1.441865182,103.7965137,1.445623,103.798141,0.453268
9259,1.44187713,103.7909,1.442753,103.790548,0.104471
9260,1.441885386,103.807162,1.44063,103.806198,0.175437
9261,1.441897301,103.7743738,1.432626,103.774051,1.025803
9262,1.441899984,103.7912336,1.442753,103.790548,0.121317
9263,1.441907412,103.7972342,1.445623,103.798141,0.423063
9264,1.441910724,103.7894711,1.442753,103.790548,0.151777
9265,1.441914925,103.7781571,1.433513,103.779747,0.94574
9266,1.441921559,103.8001355,1.440538,103.800978,0.179431
9267,1.441940096,103.7720532,1.432626,103.774051,1.053629
9268,1.441954756,103.797812,1.440538,103.800978,0.385585
9269,1.441963079,103.7732218,1.432626,103.774051,1.036563
9270,1.441989581,103.7993937,1.440538,103.800978,0.238427
