QUERY,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
THE ASTON KAY POH ROAD,THE ASTON,2,KAY POH ROAD,THE ASTON,2 KAY POH ROAD THE ASTON SINGAPORE 248973,248973,27613.9570553079,30923.5882748738,1.29593645811863,103.829849815157
SIMS URBAN OASIS SIMS DRIVE,SIMS URBAN OASIS,2,SIMS DRIVE,SIMS URBAN OASIS,2 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387386,387386,33348.8567197006,33494.8509794157,1.31918958720539,103.881380824314
LEONIE TOWERS LEONIE HILL,HORIZON TOWERS,15,LEONIE HILL ROAD,HORIZON TOWERS,15 LEONIE HILL ROAD HORIZON TOWERS SINGAPORE 239194,239194,28006.5738172391,31183.9053749833,1.29829067681172,103.833377647901
THE MEZZO BALESTIER ROAD,THE MEZZO,205,BALESTIER ROAD,THE MEZZO,205 BALESTIER ROAD THE MEZZO SINGAPORE 329682,329682,30128.8407670297,33642.4183267783,1.32052452699851,103.852447326986
SOPHIA HILLS MOUNT SOPHIA,SOPHIA HILLS,5,MOUNT SOPHIA,SOPHIA HILLS,5 MOUNT SOPHIA SOPHIA HILLS SINGAPORE 228453,228453,29648.300355277,31449.2792865969,1.30069058142746,103.848129303731
GISBORNE LIGHT EWE BOON ROAD,GISBORNE LIGHT,27,EWE BOON ROAD,GISBORNE LIGHT,27 EWE BOON ROAD GISBORNE LIGHT SINGAPORE 259330,259330,27678.3123579994,33169.6965589728,1.31624947059146,103.83042805227
THE LEGACY BUKIT TIMAH ROAD,THE LEGACY,455,BUKIT TIMAH ROAD,THE LEGACY,455 BUKIT TIMAH ROAD THE LEGACY SINGAPORE 259750,259750,26811.5486299805,33699.9731702283,1.32104508345244,103.822639719508
REZI 3TWO LORONG 32 GEYLANG,REZI 3TWO,48,LORONG 32 GEYLANG,REZI 3TWO,48 LORONG 32 GEYLANG REZI 3TWO SINGAPORE 398308,398308,33953.5634833695,32713.9771348555,1.31212753143258,103.886814275583
SKY GREEN MACPHERSON ROAD,SKY GREEN,568,MACPHERSON ROAD,SKY GREEN,568 MACPHERSON ROAD SKY GREEN SINGAPORE 368236,368236,33935.7145139072,34977.4664151203,1.33259772264628,103.886654330662
WESTCOVE CONDOMINIUM WEST COAST CRESCENT,WESTCOVE CONDOMINIUM,10,WEST COAST CRESCENT,WESTCOVE CONDOMINIUM,10 WEST COAST CRESCENT WESTCOVE CONDOMINIUM SINGAPORE 128041,128041,20544.9508487433,31098.8855749853,1.29752089480499,103.766331687461
RIVERBAY MAR THOMA ROAD,RIVERBAY,23,MAR THOMA ROAD,RIVERBAY,23 MAR THOMA ROAD RIVERBAY SINGAPORE 328704,328704,31252.1037733005,34467.6268372722,1.32798732117053,103.862540519298
EIGHT RIVERSUITES WHAMPOA EAST,EIGHT RIVERSUITES,2,WHAMPOA EAST,EIGHT RIVERSUITES,2 WHAMPOA EAST EIGHT RIVERSUITES SINGAPORE 338517,338517,31497.3523512008,33785.7240631077,1.3218204074661,103.864744134712
EMERALD GARDEN CLUB STREET,EMERALD GARDEN,33,CLUB STREET,EMERALD GARDEN,33 CLUB STREET EMERALD GARDEN SINGAPORE 069415,069415,29463.9317404469,29332.6599188168,1.28154862924483,103.846472570061
REZI 35 LORONG 35 GEYLANG,REZI 35,20,LORONG 35 GEYLANG,REZI 35,20 LORONG 35 GEYLANG REZI 35 SINGAPORE 387949,387949,34178.6793724364,33111.3526594546,1.31572120937619,103.888837131268
# 1 SUITES LORONG 20 GEYLANG,# 1 SUITES,1,LORONG 20 GEYLANG,# 1 SUITES,1 LORONG 20 GEYLANG # 1 SUITES SINGAPORE 398721,398721,33362.595902334,32743.0199916642,1.31239029325188,103.881504147527
HILLTOPS CAIRNHILL CIRCLE,HILLTOPS,101,CAIRNHILL CIRCLE,HILLTOPS,101 CAIRNHILL CIRCLE HILLTOPS SINGAPORE 229809,229809,28580.6810114291,32175.8816072401,1.30726175508578,103.838536274396
SPOTTISWOODE 18 SPOTTISWOODE PARK ROAD,SPOTTISWOODE 18,18,SPOTTISWOODE PARK ROAD,SPOTTISWOODE 18,18 SPOTTISWOODE PARK ROAD SPOTTISWOODE 18 SINGAPORE 088642,088642,28472.0209475709,28674.3665654343,1.27559528527257,103.837559859708
BALMORAL HEIGHTS BALMORAL CRESCENT,BALMORAL HEIGHTS,8,BALMORAL CRESCENT,BALMORAL HEIGHTS,8 BALMORAL CRESCENT BALMORAL HEIGHTS SINGAPORE 259928,259928,28158.3242604882,33038.4608167782,1.31506262218241,103.834741202363
THE BEACON CANTONMENT ROAD,THE BEACON,130,CANTONMENT ROAD,THE BEACON,130 CANTONMENT ROAD THE BEACON SINGAPORE 089775,089775,28797.1200381396,28705.2784702368,1.27587483521415,103.840480994349
BLISS LOFT KIM KEAT CLOSE,BLISS LOFT,25,KIM KEAT CLOSE,BLISS LOFT,25 KIM KEAT CLOSE BLISS LOFT SINGAPORE 328933,328933,30182.4729403267,33941.5158270076,1.32322945510697,103.852929261304
FARRER PARK SUITES OWEN ROAD,FARRER PARK SUITES,80,OWEN ROAD,FARRER PARK SUITES,80 OWEN ROAD FARRER PARK SUITES SINGAPORE 218896,218896,30260.8459516373,32843.3120476715,1.31329768304541,103.853633404104
PARC ESTA SIMS AVENUE,PARC ESTA,900,SIMS AVENUE,PARC ESTA,900 SIMS AVENUE PARC ESTA SINGAPORE 408966,408966,35802.8436090862,33412.7106635105,1.31844621299537,103.90343113612
